,user_id,type,use_days,use_duration,avg_cont_use,total_calls_log10,usage_range,mean_usage_scaled,sd_usage_scaled,cluster_label
816,533,gnql,0.008547008547008548,0.008547008547008548,0.008547008547008548,0.18490743646226981,3.0509461342897273e-06,0.5,0.5,1
817,534,gnql,0.008547008547008548,0.025641025641025644,0.0,0.20795773799738793,2.1536090359692194e-06,0.5,0.5,1
818,535,gnql,0.0,0.0,0.0,0.08175302483242448,0.0,1.0,0.0,0
819,536,gnql,0.0,0.0,0.0,0.10566425175617139,0.0,1.0,0.0,0
822,538,gnql,0.0,0.0,0.0,0.08175302483242448,0.0,1.0,0.0,0
823,539,gnql,0.0,0.0,0.0,0.08175302483242448,0.0,1.0,0.0,0
825,540,gnql,0.017094017094017096,0.025641025641025644,0.004273504273504274,0.1766653474326398,2.1536090359692194e-06,0.3888888888888889,0.4374448818895451,1
826,541,gnql,0.008547008547008548,0.017094017094017096,0.0,0.18490743646226981,3.4098809736179305e-06,0.5,0.5,1
827,542,gnql,0.0,0.0,0.0,0.19213758250025154,0.0,1.0,0.0,0
829,543,gnql,0.0,0.0,0.0,0.16708122558117566,0.0,1.0,0.0,0
830,544,gnql,0.0,0.0,0.0,0.17954261766816138,0.0,1.0,0.0,0
831,545,gnql,0.0,0.0,0.0,0.2218067786192352,0.0,1.0,0.0,0
832,546,gnql,0.0,0.0,0.0,0.04087651241621224,0.0,1.0,0.0,0
833,547,gnql,0.0,0.0,0.0,0.16708122558117566,0.0,1.0,0.0,0
834,548,gnql,0.0,0.0,0.0,0.10566425175617139,0.0,1.0,0.0,0
835,549,gnql,0.0,0.0,0.0,0.18741727658859586,0.0,1.0,0.0,0
836,550,gnql,0.017094017094017096,0.017094017094017096,0.017094017094017096,0.28750180265081837,1.7408339707417856e-05,0.3986254295532646,0.43268958126258017,1
837,551,gnql,0.0,0.0,0.0,0.14140949951226467,0.0,1.0,0.0,0
838,552,gnql,0.0,0.0,0.0,0.10566425175617139,0.0,1.0,0.0,0
839,553,gnql,0.0,0.0,0.0,0.19213758250025154,0.0,1.0,0.0,0
842,555,gnql,0.0,0.0,0.0,0.21604880942399843,0.0,1.0,0.0,0
844,556,gnql,0.008547008547008548,0.008547008547008548,0.008547008547008548,0.15563139074441446,3.589348393282032e-07,0.5,0.5,1
845,557,gnql,0.0,0.0,0.0,0.04087651241621224,0.0,1.0,0.0,0
846,558,gnql,0.0,0.0,0.0,0.09491232260021532,0.0,1.0,0.0,0
847,559,gnql,0.0,0.0,0.0,0.20438256208106123,0.0,1.0,0.0,0
848,560,gnql,0.0,0.0,0.0,0.17045199109613052,0.0,1.0,0.0,0
849,561,gnql,0.0,0.0,0.0,0.10566425175617139,0.0,1.0,0.0,0
852,563,gnql,0.0,0.0,0.0,0.08175302483242448,0.0,1.0,0.0,0
853,564,gnql,0.0,0.0,0.0,0.12957547867991828,0.0,1.0,0.0,0
855,566,gnql,0.0,0.0,0.0,0.04087651241621224,0.0,1.0,0.0,0
856,567,gnql,0.0,0.0,0.0,0.04087651241621224,0.0,1.0,0.0,0
857,568,gnql,0.0,0.0,0.0,0.04087651241621224,0.0,1.0,0.0,0
860,570,gnql,0.0,0.0,0.0,0.13578883501642755,0.0,1.0,0.0,0
861,571,gnql,0.0,0.0,0.0,0.06478773933995914,0.0,1.0,0.0,0
862,572,gnql,0.0,0.0,0.0,0.04087651241621224,0.0,1.0,0.0,0
863,573,gnql,0.008547008547008548,0.008547008547008548,0.008547008547008548,0.2808365487639576,1.6152067769769145e-06,0.5,0.5,1
864,574,gnql,0.0,0.0,0.0,0.04087651241621224,0.0,1.0,0.0,0
865,575,gnql,0.0,0.0,0.0,0.12262953724863672,0.0,1.0,0.0,0
869,577,gnql,0.008547008547008548,0.008547008547008548,0.008547008547008548,0.14140949951226467,1.794674196641016e-07,0.5,0.5,1
870,578,gnql,0.0,0.0,0.0,0.1766653474326398,0.0,1.0,0.0,0
871,579,gnql,0.0,0.0,0.0,0.27878513003795397,0.0,1.0,0.0,0
873,580,gnql,0.0,0.0,0.0,0.09491232260021532,0.0,1.0,0.0,0
874,581,gnql,0.0,0.0,0.0,0.06478773933995914,0.0,1.0,0.0,0
876,582,gnql,0.0,0.0,0.0,0.04087651241621224,0.0,1.0,0.0,0
877,583,gnql,0.008547008547008548,0.008547008547008548,0.008547008547008548,0.20057657435638668,3.948283232610236e-06,0.5,0.5,1
878,584,gnql,0.0,0.0,0.0,0.08175302483242448,0.0,1.0,0.0,0
879,585,gnql,0.0,0.0,0.0,0.08175302483242448,0.0,1.0,0.0,0
881,586,gnql,0.0,0.0,0.0,0.04087651241621224,0.0,1.0,0.0,0
882,587,gnql,0.0,0.0,0.0,0.12262953724863672,0.0,1.0,0.0,0
