dt,user_id,type,api_count
2021-09-08,52,riot,1
2021-09-08,31,gnql,7
2021-09-08,31,riot,2
2021-09-08,15,gnql,39
2021-09-08,15,riot,3
2021-09-08,77,gnql,4
2021-09-08,77,riot,1
2021-09-08,50,analysis,26
2021-09-08,68,analysis,6
2021-09-08,68,gnql,5
2021-09-08,79,gnql,13
2021-09-08,79,riot,3
2021-09-08,80,gnql,7
2021-09-08,80,riot,2
2021-09-08,102,gnql,15
2021-09-08,104,gnql,4
2021-09-08,108,gnql,9
2021-09-08,101,gnql,1
2021-09-08,109,gnql,2
2021-09-08,99,gnql,2
2021-09-08,23,gnql,7
2021-09-08,23,riot,3
2021-09-09,111,gnql,20
2021-09-09,0,gnql,144
2021-09-09,25,gnql,5
2021-09-09,110,gnql,1
2021-09-09,4,context,313445
2021-09-09,6,context,289
2021-09-09,92,gnql,3
2021-09-09,81,context,1
2021-09-09,81,riot,1
2021-09-09,112,context,4
2021-09-09,112,riot,4
2021-09-09,71,analysis,460
2021-09-09,72,gnql,8
2021-09-09,72,riot,1
2021-09-09,52,gnql,6
2021-09-09,52,riot,2
2021-09-09,31,gnql,13
2021-09-09,31,riot,2
2021-09-09,15,gnql,37
2021-09-09,15,riot,5
2021-09-09,28,gnql,2
2021-09-09,28,riot,1
2021-09-09,50,analysis,6
2021-09-09,50,gnql,11
2021-09-09,50,riot,3
2021-09-09,56,analysis,2
2021-09-09,56,gnql,14
2021-09-09,56,riot,1
2021-09-09,80,gnql,1
2021-09-09,102,gnql,3
2021-09-09,102,riot,1
2021-09-09,113,gnql,3
2021-09-09,113,riot,1
2021-09-09,51,gnql,1
2021-09-09,109,gnql,20
2021-09-09,109,riot,3
2021-09-09,94,gnql,2
2021-09-09,94,riot,1
2021-09-09,43,context,3
2021-09-09,43,riot,3
2021-09-09,23,gnql,12
2021-09-09,23,riot,4
2021-09-10,111,gnql,104
2021-09-10,0,gnql,144
2021-09-10,25,gnql,2
2021-09-10,4,context,583793
